Name, invitation link, latest update
DD remote sensing evaluation Zambia, `j4xusky <https://classroom.google.com/c/Mjg4NjE4OTY3MzM5?cjc=j4xusky>`_, 2021-03-11
Ethiopia REDD+ training, `xqoof5o <https://classroom.google.com/c/MzEzMzAzMzM5OTYw?cjc=xqoof5o>`_, 2021-04-09
